,ISIN,NAME
550,BE0003870871,Banimmo SA
551,BE0003874915,Fagron
552,BE0003878957,VGP
553,BE0003880979,Keyware Technologies
554,BE0003883031,CFE
555,BE0003893139,Immo Moury
556,BE0003898187,SIPEF SA
557,BE0020575115,BELRECA
558,BE0022780820,VDK Bank
559,BE0160342011,COIL
560,BE0165385973,Melexis
561,BE0172505399,BNP Paribas Fortis
562,BE0941243520,Aliaxis
563,BE0941244536,Etex
564,BE0944264663,SCR-Sibelco
565,BE0948608451,Photonike Capital
566,BE0974256852,Colruyt
567,BE0974258874,Bekaert
568,BE0974259880,D'Ieteren
569,BE0974260896,Celyad Oncology
570,BE0974264930,Ageas
571,BE0974268972,BPost
572,BE0974269012,Alliance Développement Capital
573,BE0974271034,Viohalco SA
574,BE0974272040,Qrf
575,BE0974274061,Kinepolis
576,BE0974276082,Ontex Group
577,BE0974278104,ABO-Group Environment NV
578,BE0974280126,BioSenic
579,BE0974281132,Biocartis Group HANDELSUNIVERSUM
580,BE0974282148,TINC Commuications
581,BE0974283153,Mithra Pharmaceuticals
582,BE0974288202,Xior Student Housing
583,BE0974289218,DMS Imaging SA
584,BE0974293251,Anheuser Busch InBev
585,BE0974299316,Invibes Advertising
586,BE0974303357,Cenergy
587,BE0974310428,X-FAB Silicon Foundries
588,BE0974313455,Econocom Group
589,BE0974314461,Balta Group
590,BE0974320526,Umicore
591,BE0974323553,Smartphoto Group
592,BE0974334667,Targetspot
593,BE0974349814,Warehouses De Pauw
594,BE0974362940,Barco
595,BE0974370026,Choice
596,BE0974400328,Azelis Group
597,BE0974401334,Whitestone Group
598,BE0974404361,Mazaro
599,BE0974409410,Home Invest Belgium
600,BE0974413453,DEME Group
601,BE0974429624,Pharmasimple
602,BMG0171K1018,Alibaba Health Information Technology
603,BMG0171W1055,Alibaba Pictures Group
604,BMG0403V2062,Apac Resources
605,BMG0450A1053,Arch Capital Group
606,BMG0534V1256,Asia Tele-Net
607,BMG0670A1099,AutoStore Holdings
608,BMG069741020,Aurania Resources
609,BMG0702P1086,BW Energy
610,BMG0750C1082,Axalta Coating Systems
611,BMG0957L1090,Beijing Enterprises Water Group
612,BMG095871098,Beijing Gas Blue Sky
613,BMG1118Y1214,Binhai Investment
614,BMG1146K1018,Beijing Energy International Holding
615,BMG1223L1054,BOE Varitronix
616,BMG1466R1732,Borr Drilling
617,BMG169621056,Bunge
618,BMG1932V3035,Cash Financial Svcs Group HANDELSUNIVERSUM
619,BMG1985B1138,CC Land Holdings
620,BMG210821051,China Yuchai International
621,BMG2108V1019,China Oriental Group
622,BMG210901242,China Water Affairs
623,BMG2109G1033,China Gas Holdings
